tweet || sentiment
 انا مع القرار فقط للمحتاجه واللي ماعندها محرم مثل الارامل والمطلقات اللي ماعندهم عيال وغيرها . || yes			
" دعاء ليبا  تصف في السعودية: ""خطوة نحو المساواة"". ، يا لبى يادعاء || yes		
 من حسابها على الانستغرام مبروك للمرأة السعودية  || yes			
( اللهم ابرم لهذه الامة أمر رشد يعز فيه أهل طاعتك ويذل فيه أهل معصيتك وأعصمنا من الفتن ماظهر منها ومابطن) فيصل .. فتح التعليم للمرأه عبدالله .. ادخل المرأة الشورى سلمان ..سمح بقيادة المرأة لسيارة شكراً شعباً ووطناً وحكومه الو بابا الرصيف لف علي من نفسه || yes			
. . . . . . تراكمات تسعون عاما .. بدأت تتلاشي رويدا رويدا خطوه هامه من أجل التحول . . في ظل تغيرات تشهدها العقول . أمر مجتمعي وليس له علاقة بالتحريم والدليل هذا الهشتاق مسألة وقت وكل شي بيتغير || yes			
. . مالكم تتكلمون عن المرأة السعودية وكأنها كانت مهانة ذليلة ! المرأة السعودية يعاملها مجتمعها أفضل معاملة بالعالم. || yes			
. بنت تسوق بعد ساعتين من القرار !!!  || yes			
. دورنا الحين احنا نسوق وانتو تجلسو بالبيت تمسكو اعيالكم || yes			
.. طز في الكلاب طز في الكلاب طز في الكلاب من الجهله . اتمنى من الي بتسوق ما تفشلنا بتصرفاتها و تترك راعين حملة يتشمتون و يقولون ها شفتوا ليه كنا نعيي ؟ || yes			
.يا اخوان المرأة تسوق في كل دول الخليج وفي مصر والأردن وما رأينا عليهن الا الاحترام الم تكن تسوق الجمل قبل وجود السيارة || yes			
": سألوه هل ستقود المرأة السيارة؟ فأجاب ستقود اذا لم يكن هناك رجال . لست ضد قيادة المرأة.. لكن الناس اللي يباركون للهذلول واشباهها، ابي اقول لكم من خالف نظام الدولة وتحداها لا فضل له يوم 1439.10.10 هــــ سنخلى الشوارع لعيد وطنى جديد للنساء ليستمتعو بسواقة والتفحيط لمدة يوم واحد بدون مضايقة الرجال .. || no			
: قرار منتظر خصوصاً لبعض النساء التي لايجدن رجل يخدمهن لكن ليس ضروري كالسكن والعطاله ومشاكل الأرامل والمطلقات || yes			
"، عضو يوم عظيم مجيد أغالب دموعي مبروك لنساء الوطن وشكرا بحجم السماء للملك سلمان"" . هههههههههه  || yes		
"، عضو يوم عظيم مجيد أغالب دموعي مبروك لنساء الوطن وشكرا بحجم السماء للملك سلمان"" مبروك عقبال ماتسقط الولايه اللهم امين || yes	
• قريبا ستعتدل النظرة ويعم الاتزان إن شاء الله ويكون الأمر طبيعيا ولن يؤثر ع الشخص لا بقيادة زوجته أو ابنته للسيارة. ي ليت يتأجل رأي المؤيد والمعترض حتى حين استكمال القرار .. اللي اليوم مجرد مانشيت والتفاصيل لاحقاً يمكن تتغير اشياء وتحدث اشياء كثير قررات كانت بتصير وكنسلوها فلاتتحمسون بزياده بارك الله فيكم || yes			
 يوم عظيم طال انتظاره اللهم احفظ ولاة امورنا الله يسعدهم مثل مااسعدونا الله حيو || yes			
ربطوا العفة والشرف بقيادة السيارة ويتجاهلون بأن الشريفة شريفه والفاسده فاسده. || yes		
لقياده_المرُاه بتفل على كل السواقين اللي رفضوا يودوني للجامعه وشكرا || yes			
ابد والله كنت بتكلم عن الوضوع بس خلاص اللي يبي الخراب والفساد مايحتاج سياقه فيه الف طريقه وطريقه...ربوا بناتكم وعيالكم زين وخلاص حطو جائز 200 ريال والله لبلغ حتى على اللي يطقطقون على الوزراء  || yes			
ابشركم اصبحنا نقود العالم .. كيف لا والمرأة تستطيع ان تقود سيارتها بنفسها ومفردها ! مبروك هذي الفرحة تفتقد رغد الفيصل || yes			
اتمنى ان نعكس صورة حسنة وانطباع مميز وان نكون قدوة لغيرنا || yes			
"اتمنى من معارض القرار يدرك بأن القرار ليس اجباري ، المعترض يستمر بعيش حياته القديمه ويترك المجال لمن يريد. || yes		
"اذا بنشرت السعودية كم واحد راح يوقف يصلح لها الكفر بين مؤيدومعارض اللهم اجعل هذا القرار نافع للبلاد والعباد عقبال السينما وأخيرا،، شكرا بابا سلمان || yes		
"استجد شرط جديد لقائمة شروطي للزواج وهو يخليني اسوق و يجيب لي سياره قال رسول الله ? . كُلُّكُم راعٍ ، وكُلُّكُم مَسْؤُولٌ عَن رَعِيَّتِه . حسبي الله ونعم الوكيل مالناالا الله المرأه كانت تركب الحمار قبل 70سنه بالرياض والحين وش تتوقع حال أغلب الفتيات الي بقودو السيارات بعد القرار || yes			
استعجلو بالقرار .. لان بكره بيصير فيه طلب يخلعن الحجاب بحجة صعوبة القيادة .. ويبدا شغل الشيطان ولا راح يتوقف || yes			
"اشوف ان الشخص هو المسوؤل عن أهله ، تبيها تطلع مع سايق تبيها تسوق كيفك الدوله غير مسوؤله عن أهلك سبحان الله وبحمده سبحان الله العظيم استغفر الله العظيم و اتوب اليه اللهم صل وسلم على محمد لا اله الا الله أفضل ما قيل في تمكين المراءة السعودية من السياقة   … || yes			
اطلع فوق وصوت واعمل رتويت للاستفتاء راعين الكشخة والهياط بالتقليد .. خلاص بح مافي تقليد بالسيارات قد نكون آخر دولة كانت تمنع قيادة المرأة للسيارة ..! استغرب من ربط القرار بحشمة المرأة أو صلاح المجتمع القرار هو حاجة ضرورية للكثير بل هو حق للجميع وقد وفّر لهن استخدامه || yes			
"افضل بكثير من الخروج مع السائق وبناتنا قد الثقه ان شاء الله وممكن تجيب سائقه مرأه إلى كُلِّ امرأة عانت تحت لَهيب الشمس، وأوجست حرارة العباءة السوداء، وأحسّت بالضجر والملل أثناء انتظار من يقلُّها. || yes	
افضل قرار لمن الوحده تركب مع كريم او اوبر يعتبر خلوة وحرام بس لمن هي تسوق بنفسها وتكون محتشمه مح يصير شى اتقو الله في المسلمين .. || yes			
اقترح البدء في عمل الترتيبات اللازمة لتوفير فرص عمل للسعوديات في قيادة باصات مدارس البنات كافة.  القضيه ليست القياده او لا القضيه الي كان رافض طوال هالسنوات وافق اليوم فما اشوف فيها اي انتصار لطرف ضد الاخر || yes			
الاعتراض مفهوم والمخاوف مبرره لكنها أعراض وقتية وستزول حتما نحن مجتمعات تخشى التغييرات شكراً للقيادة على القيام بدورها || yes			
الاعلام الغربي كان مستلم سالفة قيادة المرأه سنين وليش وماذا ومعقدين ومن الكلام ذا ذحين ودي اعرف بعد ما وش عندهم هرجه || yes			
الان تلحق بركب العالم وبتسارع كبير الإصرار على وضع شاذ عن العالم لا سيما انه غير محرم شرعا كان يسيء لنا اكثر || yes			
الأصل هو الثقة في مجتمعنا والأصل ان للجميع الحق في الانتقال بالوسائل المتاحة ..... انتصار العقل || yes			
"الأمر السامي جاء في توقيت مناسب، حيث رأت الدولة ان المصلحة العامة تكمن في تمكين القيادة للمرأة انا مقدرة اشتري.سياره لولدي يدرس عليها بشتري سياره للبنت || yes	
الأمر الغريب هو أنه منذ بدأت التغريد مشيدا بقرار فقدت عددا لا بأس به من المتابعين في !!! || yes			
الأمير : السماح للمرأة بقيادة السيارة خطوة كبيرة ليس فقط تغيرا اجتماعيا وإنما جزء من الإصلاح الاقتصادي  || yes			
"الآن المرآة ليست بحاجة لتوكيل شخص باستخراج التصاريح لمشروعها ، تسوق الترك وتوديها البلدية وتستخرج الرخصة شروط قيادة المرأة للسيارة  || yes		
البعض مابعد طلع غبنه اليوم الوطني الا جاه خبر أكبر خذ شهيق بدون زفير بنات كل وحده تختار سياره غير مانبي تقليد || yes			
#شعب_الحرمين_ضد_قيادة_المراه_5 ضدها لآخر عمر فينا  || no
#شعب_الحرمين_ضد_قيادة_المراة_3 لسنا ضد ملكنا الحبيب ولا ولي عهده لهم السمع والطاعة  لكن نحن ضد قرار قيادة المراة نرفضه || no
لاتنسى الاعتراض على قيادة المرأة || no
#شعب_الحرمين_ضد_قيادة_المرأة_3 #تكفى_يابوفهد_لاتخلي_النساء_يسوقن_2 اللهم أسألك أن تجعل أبونا سلمان يمنع قيادة النساء اللهم آمين || no
#شعب_الحرمين_ضد_قيادة_المرأة_3 اللهم أسألك أن تجعل أبونا سلمان يمنع قيادة النساء اللهم آمين #ماذا_سيحصل_في١٠_١٠ || no
#الشعب_يويد_قياده_المراه تأيدون او ما تأيدون بيسوقون || yes
بمناسبة #قياده_المرأه_للسياره  احترت اليوم بين سيارتين لابنتي الصغرى أميرة  في النهاية اخترت اللون البيج || yes
#قياده_المرأه_للسياره والله اشوف بنات مساكين عندنا مع كريم واوبر والي ساكنه بعيد بعد ياخذ عليها اكثر والقرار ينصفهم || yes
أكبر #كذبة في #قياده_المرأه_للسياره  الاستغناء عن السائق الأجنبي  عجزوا في إسناد مهام السائق للشباب ويزعمون ان لمرأة ستحملها بقوة  #بنشوف || no
مبروووك قيادة المرأة || yes
وين ال#حكوكيات م يتكلمون ويطلبون #حقوق_المرأة من الوظايف ويطلبون مناصفت الوظائف مع#الذكور  #الملك_ينتصر_لقيادة_المراة #قيادة_المراة_السعودية || yes
عندما ينطق أهل العلم، توضيح من الشيخ صالح المغامسي عن قيادة المرأة ومصلحتها للعامة، كلام بليغ ورد حكيم يرضي الجميع || yes
كل شيء إذا زاد عن حده انقلب ضدة  يكفي سماجة ارتقوا  #طقطقة #قيادة_المراة || yes
إلغاء قيادة المرأة || no
ويقولون قيادة المراة بتقلل من الحوادث || no
#الشعب_يرفض_قياده_المراه_2 || no
هاذي بداية حوادث قيادة المرأة || no
شاهد: كيف عبرت فتاة سعودية “منتقبة” عن فرحتها بقرار قيادة المرأة السيارة ؟ || yes
بغض النظر عن اني ضد قياده المرأه بس الله يكون بعونها بتطيح ف حاله نفسيه صعبه || no
#الشعب_يرفض_ قياده_المراه _3 عاش سلمان عاش || no 
#الشعب_يرفض_ قياده_المراه || no
#الشعب_يرفض_ قياده_المراه _3 || no 
قيادة المرأة.. قرار شرعي وعصري || yes
قيادة المرأة.. قرار شرعي وعصري || yes
في مثل هذا اليوم 26سبتمبر 2017#رفع الحظر ع قيادة المرأه في المملكه العربيه السعوديه #سجل ياتاريخ واكتب ياقلم المرأه ستقود || yes
- قياده المرأه : تم - قانون التحرش : تم - السينما : قريبا رحبوا معنا بالمملكه العربيه السعوديه الجديده  || yes
دولة السودان تهنأ المملكة العربية السعودية على قرار قيادة المرأه || yes
قيادة المرأة Done اسقاط الولاية Loading بعدها راح ناخذ حقوقنا المتبقية كاملة  || yes			
كلي تبن والله لايبارك فيك   || no			
واخيرا حجت البقره على قرونها ذي السنه مع ام ضد قياده المراه للسياره! اخيررررررا || no			
وأخيرا... مبروك للمرأة   || yes			
هذا خبر ولا عييييييييييييد ؟ || yes			
مبارك || yes			
للرجل اللي ضد القرار أحب اقولك جرب اترك سيارتك اسبوع لاتستعملها واعتمد على سواق او تاكسي وعلمني وضعك وش بيكون || yes			
التطور مو بقيادة المرأه التطور يكون ب اشياء أخرى اهم من القيادة هذا القرار بيكون ندم للمملكة العربيه السعودية  || no			
اسوء قرار على مر التاريخ  || no			
قرار حكيم من ملك حكيم .  || yes			
المرأة السعودية تقود السيارة .. الاقتصاد يستكمل أركانه || yes
#الملك__ينتصر_لقيادة_المرأة || yes
#نرفض_السواقه_والاعلام_يضلل قرار قيادة المرأة مخير وليس امرا || yes
#نرفض_السواقه_والاعلام_يضلل ١- الغاء قيادة المراة ٢- الغاء هيئة الترفية ٣- ارجاع هيئة الامر بالمعروف والنهي عن المنكر || no
#نرفض_السواقه_والاعلام_يضلل نطالب بإلغاء قياده المرأة و نطالب بإلغاء هيئة الترفيه و نطالب بعودة هيئة الأمر بالمعروف و النهي عن المنكر .. || no
#نرفض_السواقه_والاعلام_يضلل قياده بعده اسقاط ولايه بعده اسقاط عبايه. #نرفض_السواقه_والاعلام_يضلل || no
#نرفض_السواقه_والاعلام_يضلل احنا مو محتاجين قياده ونزع حياء وختلاط .. امن دولتنا وامانها بفضل تمسكنا بديننا ولا نقبل نقاش فيه . || no
قرار قيادة المرأة للسيارة قرار صائب || yes
تلقين معارضات قيادة المرأة الله ياخذهن || yes
نحن فتيات الاسلام مع قيادة المرأة والتخلص من الرجل الاجنبي || yes
قيادة السيارة فوائدها لا تحصى … || yes
لازم يعاقبونهم ويلغون قياده المراة لانها السبب || no
الغاء قياده المرأه فقط فقط فقط || no
نرجوك الغي قيادة المرأة لسياره || no
اهلي ضد قيادة المرأه الحمدلله وربي افتخر فيهم || no
#الشعب_يرفض_قياده_المراه_٨  لاإله إلا الله || no
#الشعب_يرفض_قياده_المراه_٨ سبحان الله || no
إلغاء قيادة المرأه وتفعيل دور الهيئه || no
الآن مع السواق الأجنبي تتعرض بعض نساءالمسلمين.ما الله به عليم من الأذى والتحرش والإبتزاز وربما السماح #قيادة_المراة_للسيارة  نتخلص من شرهم || yes
تكفى يا سلمان الحزم وقائد المسلمين ١- عودة الهيئة  ٢- إلغاء هيئة الترفيه  ٣- إلغاء قيادة المرأة  تكفى  يا فخرنا وسعدنا || no
تكفى يا سلمان الحزم وقائد المسلمين ١- عودة الهيئة  ٢- إلغاء هيئة الترفيه  ٣- إلغاء قيادة المرأة  تكفى فخرنا وسعدنا || no
#الشعب_يويد_قياده_المراه || yes
#شعب_الحرمين_ضد_قياده_المراه_ || no
#نطالب_الغاء_ولايه_السفر  اظاهر الحريم انهبلو عقب قرار قيادة المراه للسياره || no
الشعب السعودي موافق على قيادة المرأة للسيارة || yes
وزارة النقل تدرس إمكانية السماح للمرأة بامتلاك ترخيص لقيادة سيارات الأجرة ومزاولةنشاط نقل السيدات. . . #قيادة_المراة  || yes
الغاء قيادة المرأة || no
قيادة المرأه تبيهم يلغونها  || no
#نطالب_الغاء_ولايه_السفر  هذا الإلغاء قادم في القرارات القادمة، معضلة قيادة المرأة بدون إذن ولي أمر تم الأقرار بها، فما بالكم بالسفر والجواز || no
#الشعب_يرفض_قيادة_المراه_ || no
#الملك_يامر_بنظام_ضد_التحرش أرى أنه من الأفضل تفعيل صلاحيات الهيئة لتعود كما كانت قبل ولا حاجةلأي قانون مع السماح بقيادةالمرأة هذا حل جامع || yes
السماح بقيادةالمرأه المنافع الاستغناءعن السائق أفضل للأبناء فالام تكون مطمئنه بتوصيل ابناءهاالمساؤى تتفادى بتنظيم للطرق ولائحةالأنظمةللافضل || yes
#الملك_ينتصر_لقيادة_المرأة مبررات من يعترض على السماح بقيادةالمرأة وجدتها ظن سوءوفيها إساءة لمجتمعنا فعليهم أن يستغفروا الله مما يظنون || yes
مع إقرار قيادةالمرأة بتحصل تغييرات كبيرةعلى المستوى الإجتماعي بتٌحترم المرأة أكثر بتكون لها فعالية و مشاركات أكثر بعد ماكانت بمعزل بعيد || yes
مبسوطة من خبر القيادة اكثر من تخرجي طبيعي ! || yes
الحمدلله! شكرًا محمد بن سلمان، عراب المملكة العربية السعودية || yes
أول حالة وفاة في المملكة العربية السعودية لسيدة بسبب قيادتها سيارتها #قيادة _ المرأة   || no
أحلام - بقرة معلمو لأكرم تفتي بعدم جواز قيادة المرأة للسيارة في المزبلة العربية السعودية  || no
أحلام - بقرة معلمو لأكرم تفتي بعدم جواز قيادة المرأة للسيارة في المزبلة العربية السعودية  || no
ألف مبروك للسعوديات لمن أشقاها السائق والموزين وشركات التوصيل والخلوة مع سائقي كريم واوبر و المشاوير الخاصة وو   || yes			
شكراً ملكنا والحمد لله  || yes			
#الملك_ينتصر_لقيادة_المرأة || no
ساويرس يؤكّد أنّ حديثه عن قيادة المرأة السعودية للسيارة هو لدعم الخطوة || yes
ساويرس يؤكّد أنّ حديثه عن قيادة المرأة السعودية للسيارة هو لدعم الخطوة || yes
حتى و إن قررت الأسرة الإبقاء على السائق، تعلم المرأة للقيادة مهم للتصرف في حالات الطوارىء و عند الضرورة.  #قيادة_المراة_السعودية || yes
وضعية سواقة الحريم نفس وضعية  جوال الكاميرا اول مانزل عيب وحرام  لمئ صار فكل حته حتسوق الحرمه وراح اخذ موتر لأمي #الشعب_يويد_قياده_المراه || yes
طلبك مردود ياسيد الغي قيادة المرأه لبيتك اما بيوت الناس مالك فيها وشكرا .. || yes
#الشعب_يرفض_قياده_المراه_2 السكن .والوضائف .وحافز .والمقطوعه لأهل الضمان ..وخلو منكم قيادة المرأه ..مااااااااانبي نسوووووووق || no
#قبائل_المملكة_ترفض_قيادة_المراة_1 لانريد قيادة المرأه كذا احسن في امن وامان الله يديم لنا حكامنا || no
لا تلتفتين لكلام اللي معارض التطور للبنات زيه زي معارض قيادة المرأة؛هذا متخلف، واللي توه حسابه جديد،هذا من بتوع الجامعة #جوالات_جامعه_بيشه١ || yes
#شعب_الملك_سلمان_ضد_قياده_المراه_1  أنا اجهل بالقيادة والرخص جهل تام لكن سوال هل الرخصه يكون فيها صورة صاحبها كما في بطاقة الاحوال؟؟ || no
#قيادة_المراة_السعودية  . رخصة القيادة ليست عهر ولا عار للبنات  المشكلة عند بعض الشباب في مضايقة الاخوات السعوديات #احترموا_البنات || yes
نريد أن الهيئة الامر بالمعروف والنهي عن المنكر أن ترجع وان تكون مسلحه لا يسمح الاعتداء عليهم والغاء قيادة المراه || no
الى متى الناس يفهمون ان ما تتحكم بأحد غير نفسك و اهلك .. قرار و نزل و انتهى الموضوع #قياده_المرأه_للسياره معارض الله لا يهينك عارض على اهلك || yes
#عوده_الهيئه_والغاء_قياده_النساء #الشعب_يرفض_قيادة_السواق #الشعب_يرفض_قيادة_المراه_٦ || no
#الشعب_يويد_قياده_المراه || yes
#قيادة_المراة_السعودية كل النساء في كل دول العالم تقود المركبات وهذا حق انساني إحترموا مشاعر أخواتنا السعوديات وكفوا عن قذارة ما في أفواهكم || yes
الردع السعودي(قرار #قيادة_المرأة يعود الفضل فيه لله ثم #الملك_سلمان) . ومدعي #النضال... || yes
ضد قيادة المرأة || no
#شعب_الحرمين_ضد_قياده_المراه_5 #نحن_بنات_سلمان_لانريد_القياده || no
#الشعب_يرفض_قياده_المراه_2 || no
انا ملكه ولا أرضى بهذه المهانه ،،الله رفع قدري ومنزلتي وجعلني ام ومربيه وعظيمه ولاارضى بهذا ال ذل والانحطاط #شعب_الحرمين_ضد_قياده_المراه_5 || no
#الشعب_يرفض_قياده_المراه_2 #الشعب_يرفض_قياده_المراه_2 || no
#السماح_بقيادة_المرأة قيادة المرأه حق من حقوقها من غير تبريرات غبيه  يعني عادي فيه سواق بالبيت والبنت عندها سيارتها || yes
نريد رجوع هيئة الأمر بالمعروف والنهي عن المنكر و إلغاء قيادة المرأة للسيارة || no
معا قيادة المرأة وبقوة || yes
اللهم من أراد الإسلام و المسلمين بسوء فرد كيدهم في نحورهم ونعوذ بك اللهم من شرورهم #شعب_الحرمين_ضد_قياده_المراه_5 || no
انا ملكه ولا أرضى بهذه المهانه ،،الله رفع قدري ومنزلتي وجعلني ام ومربيه وعظيمه ولاارضى بهذا ال ذل والانحطاط #شعب_الحرمين_ضد_قياده_المراه_4 || no
صراحة انا ضد القرار في اشياء في البلد اهم من قيادة المراة خافو الله ياولاة الامر مفسادة اكثر من منافعه  #الاهلي #الشعب_يويد_قياده_المراه || no
حفظك الله سألتك بالله العظيم وبوجهه الكريم أن تلغي قياده المرأه لسياره الله يديم عزك ويحفظك ياسلمان الحزم وادام الله عليك بالصحه والعافيه || no
الشعب مايبي قياده المراه عطها حقها في التوظيف وفي حافز ، احفظ الدين في عهدك غنو القران وسبو العلماء ، العلاوه السنويه وعدتنا بها وللاسف ؟؟؟ || no
توضيح بسيط قيادة المرأه مالها علاقه بالعادات والتقاليد ومن عادات البدو اذا شاف المتحرش ببنات الحمايل يوقفه عند حده  #السعودية_قبل_الصحوة || yes
اعادة صندوق التنميه بعتونا للبنوك للاسف ، قياده المراه بداية انحراف لها ، العلاوه السنويه ١٤٣٨ وعود في الاعلام بنزولها وانتهت السنه ولم تنزل || no
#نحن_بنات_سلمان_لانريد_القياده #شعب_الحرمين_ضد_قياده_المراه_1 #عوده_الهيئه_والغاء_قياده_النساء  على اساس الي مسوين هالهشتاقات كائنات فضائيه! || no
تكفى يا سلمان الحزم وقائد المسلمين ١- عودة الهيئة  ٢- إلغاء هيئة الترفيه  ٣- إلغاء قيادة المرأة || no
بالرغم اني ضد توجه رغد الفيصل الا اني تمنيت انها محتفله معنا بهالخبر، كانت من أوائل المطالبين بهذا القرار.. #قيادة_المراة_السعودية || yes
مافي دليل ياعاه لا من القران او السنه يحرم قيادة المرأه العادات والتقاليد كانت أساس المنع فمن اين أتى التحريم اذا الا في دين غير الاسلام || yes
نرجو عودة الهيئة. وتوفير الوظائف. ومنع قيادة المرأة ليس لحكم شرعي فقط ولكن لأسباب مجتمعية يبين تأثيرها قريبا وبعيدا .فالأفضل والأولى توظيفهن || yes
#نطالب_بإرجاع_هيئة_الأمر_بالمعروف_والنهي_عن_المنكر #الشعب_يويد_قياده_المراه #الملك_ينتصر_لقياده_المراه هل انت مع رجوع هيئةالامر بالمعروف || yes
#شعب_الملك_سلمان_ضد_قياده_المراه_1 المملكة فيها بنات محتشمات يظرب فيها المثل ومناصب ودراسات عليا ولا فكرو بالقيادة فلذالك نتمنا إلغائها || no
#شعب_الملك_سلمان_ضد_قياده_المراه_1 الكل رافض فكرتها القياده اساسها للرجال نساءنا بحشمه وعفه ونحن في بلاد الحرمين لانريد القياده ولا السنيما || no
نريد هيئة الأمر بالمعروف والنهي عن المنكر و إلغاء قيادة المرأة للسيارة واسال الله ان يحفظك ذخر للإسلام والمسلمين ويرزقك البطانة الصالحة || no
#شعب_الملك_سلمان_ضد_قياده_المراه_1 نعم ضد الفاسد  ضد الاختلاط  ضد القياده رجالنا موجودين  الشعب يطالبك ي سيدي  وكلنا ضدها || no
وانت ارجع وأقول خلّك في قيادة المرأة للسيارة هذي المواضيع، أكبر منك || yes
لماذا أصبحت مشكلة #قيادة_المرأة أكبر وأهم من مشكلة #البطاله في السعوديه !؟ || no
هذي الهقوة يَ ابو فهد  نريد : _ عودة #هيئه_الامر_بالمعروف  . _ الغاء #هيئه_الاغاني "الترفيه" . _ الغاء #قياده_المرأه_للسياره . || no
#قبائل_المملكة_ترفض_قيادة_المراة_1 نتمنى من قيادتنا الحكيمة مثل ما أقرت هذا القرار الذي يرفضه الشعب أن يلغى لما فيه مفاسد نحن في غنى عنها || no
مع قيادة المرأة || yes
اليوم بدأ أخويا يعلمنا السواقة  #قياده_المرأه_للسياره || yes
لودو ؟؟ #الشعب_يويد_قياده_المراه || yes
#نحن_بنات_سلمان_لانريد_القياده  كل الشعب ضد قياده المرأة .. || no
ستسمع عما قريب: " يا له من أحمق يمنع ابنته من قيادة السيارة ويسمح لها بالركوب مع رجل أجنبي غريب" #قيادة_المراة_السعودية #مملكة_المستقبل || yes
تكفى الله يوفقك يا خادم الحرمين الشرفين  تكفى ألغ قيادة المرأة للسيارة  لأنه مستحيل يجتمع حجاب مع امرأة تقود سيارة  #خادم_الحرمين #الإخبارية || no
تكفى يا سلمان الحزم وقائد المسلمين ١- عودة الهيئة  ٢- إلغاء هيئة الترفيه  ٣- إلغاء قيادة المرأة  تكفى فخرنا وسعدنا || no
#شعب_الحرمين_ضد_قياده_المراه_5 يارب ارحمنا من هذا القرار وانتقم شر انتقام من اراد زعزعت دينك في هذه البلاد || no
١.عودة الهيئه ٢.الغاء قيادة المرأه ٣.الغاء الترفيه || no
اطالب بإعادة الهيئة  والغاء قيادة المرأة والغاء هيئة الترفية والمطالبة بإعادة الصندوق العقاري كما كان وتقاعد العسكر وحل البطالة وغيرها || no
#الشعب_يرفض_قياده_المراه_ || no
١- عودة الهيئة  ٢- إلغاء هيئة الترفيه  ٣- إلغاء قيادة المرأة || no
#الشعب_يويد_قياده_المراه || yes
#الملك__ينتصر_لقيادة_المرأة  شايب  ثقه  لتعليم  البنات  قيادة  السياره  في  ابها وضواحيها 1توجد سياره للتعليم 2يوجد محرم 3الساعه ب 100 ريال || yes
تكفى يا سلمان الحزم وقائد المسلمين ١- عودة الهيئة  ٢- إلغاء هيئة الترفيه  ٣- إلغاء قيادة المرأة || no
#عوده_الهيئه_والغاء_قياده_النساء مطلب الغيورين .. ومنع الهيئة،والاختلاط،وتغريب المرأة،وقيادتها..أمنية العلمانيين .. || no
قرارك ياملكنا على العين والراس #شعب_الحرمين_مع_قيادة_المرأة || yes
إعادة الهيئة والامربالمعروف والنهي عن المنكر  تكفى يابوفهد والغاء قيادة المرأه والغاء الترفيهيه || no
تكفى يا سلمان الحزم وقائد المسلمين ١- عودة الهيئة  ٢- إلغاء هيئة الترفيه  ٣- إلغاء قيادة المرأة  تكفى فخرنا وسعدنا || no
تكفى يا سلمان الحزم وقائد المسلمين ١- عودة الهيئة  ٢- إلغاء هيئة الترفيه  ٣- إلغاء قيادة المرأة  تكفى فخرنا وسعدنا || no
#شعب_الملك_سلمان_ضد_قياده_المراه_ || no
تكفى يا سلمان الحزم وقائد المسلمين ١- عودة الهيئة  ٢- إلغاء هيئة الترفيه  ٣- إلغاء قيادة المرأة  هنا يبدأ صلاح المجتمع قبل أن تغرق السفينة || no
#شعب_الملك_سلمان_ضد_قياده_المراه_1  من لم يرى الفكره تسير مع هواءه الشخصي نعت الآخرين بالجهل   للأسف || no
تكفى يا ملكنا الله يحفظك : ١- عودة الهيئة  ٢- إلغاء هيئة الترفيه  ٣- إلغاء قيادة المرأة || no
بنات انا بوديكم الجامعه اليوم  #الشعب_يويد_قياده_المراه  || yes
تكفاء ياسلمان عودة الهيئة والغاء قيادة المرأه وتنقية مستشارينك لنهم بعظهم يبي يشوه سمعتك وسمعة المملكه وتفريح الاعداء || no
#الشعب_يويد_قياده_المراه واحد من اذكى و اروع الاعلانات اللي قد شفتها إعلان #فورد .. ختّم كل الـ #كلام_في_القيادة || yes
#قيادة_المرأة لوحدها افضل من ركوبها مع كل من هب ودب || yes
نريد عودة المصلحين , وعودة الهيئة , والغاء قرار قيادة المرأة , ومحاسبة المشككين بديننا المتطاولين على ثوابتنا. || no
ونبي. إلغاء قيادة المرأة لسيارة تكفى || no
قيادة المراه حلال مو حرام شدخل الشريعه يامتخلف || yes
قايله لكم  #قيادة_المراة_للسيارة #قيادة_المرأة || yes
#الشعب_يرفض_قياده_المراه || no
#شعب_الملك_سلمان_ضد_قياده_المراه_1 || no
يا قائدنا نريد الغاء قيادة المرأة || no
نريد هيئة الأمر بالمعروف والنهي عن المنكر و إلغاء قيادة المرأة للسيارة واسال الله ان يحفظك ذخر للإسلام والمسلمين ويرزقك البطانة الصالحة || no
#قبائل_المملكة_ترفض_قيادة_المراة_1 نعم هن لا يردن القيادة يردن : توظيف العاطلات  رواتب للمطلقات والأرامل إعادة العلاوة اللهم سخر ولاة أمرنا || no
عودة هيئة الأمر بالمعروف والنهي عن المنكر وإلغاء هيئة الترفيه ومنع قيادة المرأه وسلامتكم.. || no
#عوده_الهيئه_والغاء_قياده_النساء نعم نطالب بعودة شعيرة الأمر بالمعروف والنهي عن المنكر بكامل صلاحياتها. و إلغاء قيادة المرأة للسيارة || no
تكفى يا سلمان الحزم و قائد المسلمين ١- عودة هيئة الامر بالمعروف والنهي عن المنكر ٢- إلغاء هيئة الترفيه  ٣- إلغاء قيادة المرأة   تكفى فخرنا || no
تكفى ياخادم الحرمين نريد هيئة الأمر بالمعروف ونهي عن المنكر وإلغاء هيئة الترفيه وإلغاء قيادة المرأة وجزاكم الله خير || no
نريد هيئة الأمر بالمعروف والنهي عن المنكر و إلغاء قيادة المرأة للسيارة واسال الله ان يحفظك ذخر للإسلام والمسلمين ويرزقك البطانة الصالحة || no
تكفى ياخادم الحرمين الشرفين ١- ارجاع الهيئة  ٢- الغاء الترفيه  ٣- الغاء قيادة المرأه || no
نريد  إرجاع  جهاز  هيئه الأمر بالمعروف والنهي عن المنكر كماكانت سابقا.  ونريد منكم  إلغاء  قيادة المرأة للسيارة في بلاد  الحرمين الشريفين  || no
